Age Group,Total,Percent,Male,Percent Male,Female,Percent Female,Male,Percent Male (Negative)
Under 5 years,12940,11.08%,6800,11.71%,6140,10.47%,-6800,-11.71%
5 to 9 years,14270,12.22%,7380,12.71%,6890,11.75%,-7380,-12.71%
10 to 14 years,8450,7.24%,4390,7.56%,4060,6.92%,-4390,-7.56%
15 to 19 years,5880,5.04%,3080,5.30%,2800,4.77%,-3080,-5.30%
20 to 24 years,5180,4.44%,2510,4.32%,2670,4.55%,-2510,-4.32%
25 to 29 years,7370,6.31%,3250,5.60%,4120,7.02%,-3250,-5.60%
30 to 34 years,13930,11.93%,5800,9.99%,8130,13.86%,-5800,-9.99%
35 to 39 years,16190,13.87%,8500,14.63%,7690,13.11%,-8500,-14.63%
40 to 44 years,11360,9.73%,6040,10.40%,5320,9.07%,-6040,-10.40%
45 to 49 years,7400,6.34%,4040,6.96%,3360,5.73%,-4040,-6.96%
50 to 54 years,4640,3.97%,2430,4.18%,2210,3.77%,-2430,-4.18%
55 to 59 years,2430,2.08%,1120,1.93%,1310,2.23%,-1120,-1.93%
60 to 64 years,2120,1.82%,960,1.65%,1160,1.98%,-960,-1.65%
65 to 69 years,1800,1.54%,720,1.24%,1080,1.84%,-720,-1.24%
70 to 74 years,1320,1.13%,530,0.91%,790,1.35%,-530,-0.91%
75 to 79 years,790,0.68%,310,0.53%,480,0.82%,-310,-0.53%
80 to 84 years,400,0.34%,130,0.22%,270,0.46%,-130,-0.22%
85 years and over,270,0.23%,90,0.15%,180,0.31%,-90,-0.15%
